Timestamp,File Name,File Size(Byte),Prepocess Time(ms),Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
230,128_3.jpg,159202,11.59839,32.58165,127.3616,171.54164,0.00010827773785600001,0.00020002225789427755
231,128_4.jpg,114803,10.61941,34.54105,91.8424,137.00287,7.808073478400001e-05,0.00020443886457048355
232,128_5.jpg,13023,3.19989,16.46522,10.4184,30.08351,8.857306944e-06,8.958740397170186e-05
233,128_6.jpg,109561,9.49394,29.185,87.6488,126.32774,7.451550380800001e-05,0.00017524090533293783
234,128_7.jpg,127832,10.5225,40.24513,102.2656,153.03322,8.6942122496e-05,0.0002296979896839708
235,129_0.jpg,10322,2.96837,32.78832,8.2576,44.0143,7.020281216000001e-06,0.00016207677260190247
236,129_1.jpg,968,1.94914,11.21326,0.7744,13.9368,6.583639040000001e-07,6.029398420117795e-05
237,129_2.jpg,163982,11.56806,31.4842,131.1856,174.23786,0.00011152874969600002,0.0001949417991168797
238,129_3.jpg,81631,7.36898,35.81977,65.3048,108.49355,5.5519528768e-05,0.00019555668015554546
239,129_4.jpg,162607,11.69325,32.80884,130.0856,174.58769,0.00011059357369600001,0.00020147299284487962
240,129_5.jpg,4748,2.74832,14.26915,3.7984,20.81588,3.2292477440000003e-06,7.76603291567415e-05
241,129_6.jpg,67876,9.33403,36.03966,54.3008,99.67449,4.616436812800001e-05,0.00020539938544519244
242,129_7.jpg,135185,10.34471,30.3357,108.148,148.82841,9.194310368000001e-05,0.00018425710620842872
243,129_8.jpg,152985,14.15216,40.57928,122.388,177.11943,0.00010404938208000001,0.00024755416483432055
244,130_0.jpg,33824,5.70401,16.01474,27.0592,48.77795,2.3004649472e-05,9.883862399309873e-05
245,130_1.jpg,72517,10.34535,39.6574,58.0136,108.01636,4.9320842176e-05,0.00022625241131670772
246,130_2.jpg,11689,3.72801,40.02994,9.3512,53.10915,7.950016192000001e-06,0.00019812082764469085
247,130_3.jpg,37753,6.42789,49.4637,30.2024,86.094,2.5676872384000003e-05,0.00025278045857585966
248,130_4.jpg,74987,7.99924,47.02286,59.9896,115.0117,5.1000758336000006e-05,0.00024886355601996184
249,130_5.jpg,154660,15.25665,37.6818,123.728,176.66645,0.00010518859648000002,0.0002394771238427609
250,130_6.jpg,5987,3.22126,19.47146,4.7896,27.48232,4.071926336000001e-06,0.00010322616478614509
251,130_7.jpg,65884,10.06589,50.39347,52.7072,113.16656,4.4809553152000005e-05,0.00027335732918940485
252,130_8.jpg,109750,10.39288,32.67469,87.8,130.86757,7.464404800000001e-05,0.00019501078443974256
253,130_9.jpg,176291,14.29751,44.20571,141.0328,199.53602,0.00011990044524800002,0.00026454531949944793
