Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,transmission Time (ms),Latency(ms),Idle Cost (CNY),Trigger Cost(CNY)
1685003335.6163251,208.jpg,515659,2016x2016,1,8,0.35562,515.659,307.00088,2.6326174164263915e-05,0.0009541763181686401
1685003336.977786,209.jpg,598282,2016x2016,1,9,0.40203,598.282,312.1922,3.0472783697839357e-05,0.0009702943475723267
1685003338.34863,210.jpg,458935,2016x2016,1,9,0.32038,458.935,305.75013,2.3445467004058837e-05,0.0009502930086135865
1685003339.701289,211.jpg,509705,2016x2016,1,8,0.35027,509.705,314.58378,2.5947007797302244e-05,0.0009777197151184082
1685003341.055286,212.jpg,469875,2016x2016,1,8,0.34111,469.875,298.23494,2.393854114379883e-05,0.0009269598403930664
1685003342.404904,213.jpg,455080,2016x2016,1,9,0.33939,455.08,303.49302,2.325360562979126e-05,0.0009432851375579834
1685003343.772235,214.jpg,571734,2016x2016,1,9,0.44095,571.734,323.73571,2.9196851615740966e-05,0.0010061346446990965
1685003345.145694,215.jpg,426791,2016x2016,1,8,0.26231,426.791,295.06111,2.1766733379833985e-05,0.0009171057388305665
1685003346.494386,216.jpg,399050,2016x2016,1,9,0.23677,399.05,296.40985,2.040330900405884e-05,0.0009212932878494263
1685003347.851874,217.jpg,517724,2016x2016,1,8,0.32405,517.724,304.09598,2.6425892372149657e-05,0.0009451572095870972
1685003349.205461,218.jpg,630404,2016x2016,1,9,0.43696,630.404,318.09092,3.2101432265246583e-05,0.0009886086750030517
1685003350.570991,219.jpg,498175,2016x2016,1,9,0.32401,498.175,311.77497,2.5390606135406494e-05,0.0009689989240646362
1685003351.9384818,220.jpg,510692,2016x2016,1,8,0.34037,510.692,320.18018,2.6075594643853763e-05,0.0009950954156875609
1685003353.319508,221.jpg,548922,2016x2016,1,10,0.36874,548.922,312.15191,2.80438277260376e-05,0.000970169246673584
1685003354.688045,222.jpg,420048,2016x2016,1,10,0.27979,420.048,296.7968,2.149383104678955e-05,0.0009224947006225586
1685003356.038965,223.jpg,447580,2016x2016,1,10,0.29254,447.58,295.35985,2.2891088028778075e-05,0.0009180332620620727
1685003357.395714,224.jpg,673960,2016x2016,1,11,0.43811,673.96,322.016,3.437239472653199e-05,0.0010007952791213988
1685003358.771654,225.jpg,625057,2016x2016,1,11,0.41484,625.057,318.22205,3.183301425615845e-05,0.0009890158081054686
1685003360.145499,226.jpg,627856,2016x2016,1,9,0.41722,627.856,314.86988,3.203900770115357e-05,0.0009786080055236815
1685003361.516076,227.jpg,589560,2016x2016,1,11,0.37975,589.56,321.17724,3.0052354909179688e-05,0.0009981911077499388
1685003362.896215,228.jpg,606239,2016x2016,1,11,0.38042,606.239,316.03408,3.0947779861193845e-05,0.00098222260723114
1685003364.2542279,229.jpg,566637,2016x2016,1,11,0.35157,566.637,317.21234,2.8858713734368896e-05,0.000985880883216858
1685003365.615006,230.jpg,487711,2016x2016,1,11,0.28955,487.711,317.78479,2.49065368809021e-05,0.000987658204269409
1685003366.983374,231.jpg,439299,2016x2016,1,10,0.26841,439.299,300.57716,2.2447691747454833e-05,0.0009342319778442383
1685003368.3386502,232.jpg,497365,2016x2016,1,10,0.31392,497.365,305.4142,2.5362453950683594e-05,0.0009492500076293945
1685003369.701011,233.jpg,574737,2016x2016,1,10,0.36093,574.737,314.74018,2.935737349053345e-05,0.0009782053138732909
1685003371.063539,234.jpg,548820,2016x2016,1,10,0.3629,548.82,603.58191,2.7940456867462156e-05,0.0018750010997772217
